sex,age,tp_nfMI,tp_nfIS,tp_nfHS,tp_nfdm,tp_fCHD,tp_fCBD,tp_fLC,tp_fCC,tp_fCOPD,tp_fOTH,tp_d_cvd
0,8.6000004,4.6785192e-07,8.0156788e-06,1.7792627e-06,.000039985727,2.9296984e-07,2.3301304e-07,4.7105209e-07,2.5091282e-09,5.5783794e-08,.00013995769,.00042303905
0,8.6999998,4.7691185e-07,8.0917725e-06,1.8023686e-06,.000040443061,2.9608742e-07,2.3677447e-07,4.7735449e-07,2.6046894e-09,5.7144909e-08,.00014037435,.00042433295
0,8.8000002,4.8614731e-07,8.1685894e-06,1.8257748e-06,.000040905568,2.9923820e-07,2.4059665e-07,4.8374130e-07,2.7038911e-09,5.8539253e-08,.00014079227,.00042563127
0,8.8999996,4.9556149e-07,8.2461356e-06,1.8494846e-06,.000041373416,3.0242245e-07,2.4448050e-07,4.9021349e-07,2.8068698e-09,5.9967604e-08,.00014121142,.00042693393
0,9,5.0515814e-07,8.3244176e-06,1.8735027e-06,.000041846612,3.0564064e-07,2.4842709e-07,4.9677232e-07,2.9137714e-09,6.1430825e-08,.00014163183,.00042824104
0,9.1000004,5.1494055e-07,8.4034436e-06,1.8978326e-06,.000042325213,3.0889308e-07,2.5243736e-07,5.0341896e-07,3.0247447e-09,6.2929743e-08,.00014205348,.00042955257
0,9.1999998,5.2491237e-07,8.4832191e-06,1.9224783e-06,.000042809304,3.1218008e-07,2.5651235e-07,5.1015439e-07,3.1399434e-09,6.4465219e-08,.00014247639,.00043086853
0,9.3000002,5.3507733e-07,8.5637521e-06,1.9474442e-06,.000043298875,3.1550209e-07,2.6065317e-07,5.1698004e-07,3.2595304e-09,6.6038183e-08,.00014290056,.000432189
0,9.3999996,5.4543909e-07,8.6450491e-06,1.9727340e-06,.000043794094,3.1885943e-07,2.6486077e-07,5.2389697e-07,3.3836711e-09,6.7649502e-08,.00014332599,.00043351392
0,9.5,5.5600157e-07,8.7271183e-06,1.9983527e-06,.000044294971,3.2225253e-07,2.6913634e-07,5.3090645e-07,3.5125407e-09,6.9300164e-08,.0001437527,.00043484342
0,9.6000004,5.6676862e-07,8.8099669e-06,2.0243040e-06,.000044801574,3.2568175e-07,2.7348094e-07,5.3800977e-07,3.6463186e-09,7.0991092e-08,.00014418067,.00043617742
0,9.6999998,5.7774406e-07,8.8936013e-06,2.0505920e-06,.000045313987,3.2914741e-07,2.7789562e-07,5.4520802e-07,3.7851899e-09,7.2723267e-08,.0001446099,.00043751599
0,9.8000002,5.8893215e-07,8.9780306e-06,2.0772218e-06,.000045832203,3.3264999e-07,2.8238162e-07,5.5250268e-07,3.9293520e-09,7.4497727e-08,.00014504042,.00043885916
0,9.8999996,6.0033676e-07,9.0632602e-06,2.1041969e-06,.000046356396,3.3618980e-07,2.8693998e-07,5.5989489e-07,4.0790029e-09,7.6315459e-08,.00014547222,.00044020693
0,10,6.1196238e-07,9.1492993e-06,2.1315227e-06,.000046886584,3.3976730e-07,2.9157198e-07,5.6738600e-07,4.2343546e-09,7.8177571e-08,.00014590532,.00044155936
0,10.1,6.2381309e-07,9.2361561e-06,2.1592034e-06,.000047422825,3.4338288e-07,2.9627873e-07,5.7497738e-07,4.3956234e-09,8.0085108e-08,.00014633969,.00044291644
0,10.2,6.3589317e-07,9.3238368e-06,2.1872434e-06,.000047965223,3.4703692e-07,3.0106145e-07,5.8267028e-07,4.5630326e-09,8.2039179e-08,.00014677536,.00044427821
0,10.3,6.4820733e-07,9.4123498e-06,2.2156476e-06,.000048513757,3.5072986e-07,3.0592139e-07,5.9046613e-07,4.7368189e-09,8.4040941e-08,.00014721233,.00044564466
0,10.4,6.6075984e-07,9.5017031e-06,2.2444203e-06,.000049068618,3.5446206e-07,3.1085975e-07,5.9836623e-07,4.9172226e-09,8.6091532e-08,.00014765059,.00044701586
0,10.5,6.7355552e-07,9.5919049e-06,2.2735671e-06,.00004962982,3.5823402e-07,3.1587788e-07,6.0637211e-07,5.1044986e-09,8.8192181e-08,.00014809017,.00044839186
0,10.6,6.8659904e-07,9.6829626e-06,2.3030925e-06,.000050197443,3.6204611e-07,3.2097699e-07,6.1448515e-07,5.2989075e-09,9.0344081e-08,.00014853105,.0004497726
0,10.7,6.9989500e-07,9.7748843e-06,2.3330010e-06,.000050771574,3.6589873e-07,3.2615839e-07,6.2270658e-07,5.5007185e-09,9.2548461e-08,.00014897324,.00045115815
0,10.8,7.1344851e-07,9.8676801e-06,2.3632981e-06,.000051352199,3.6979239e-07,3.3142348e-07,6.3103812e-07,5.7102176e-09,9.4806659e-08,.00014941675,.00045254856
0,10.9,7.2726442e-07,9.9613553e-06,2.3939883e-06,.000051939529,3.7372746e-07,3.3677350e-07,6.3948107e-07,5.9276934e-09,9.7119930e-08,.00014986159,.00045394385
0,11,7.4134795e-07,.000010055921,2.4250774e-06,.000052533564,3.7770442e-07,3.4220994e-07,6.4803703e-07,6.1534542e-09,9.9489668e-08,.00015030774,.00045534398
0,11.1,7.5570426e-07,.000010151384,2.4565704e-06,.00005313439,3.8172371e-07,3.4773416e-07,6.5670753e-07,6.3878134e-09,1.0191723e-07,.00015075522,.00045674908
0,11.2,7.7033843e-07,.000010247752,2.4884719e-06,.000053742111,3.8578574e-07,3.5334747e-07,6.6549387e-07,6.6310957e-09,1.0440399e-07,.00015120403,.00045815908
0,11.3,7.8525613e-07,.000010345037,2.5207880e-06,.000054356711,3.8989100e-07,3.5905146e-07,6.7439794e-07,6.8836461e-09,1.0695147e-07,.0001516542,.0004595741
0,11.4,8.0046254e-07,.000010443244,2.5535235e-06,.000054978402,3.9403994e-07,3.6484747e-07,6.8342098e-07,7.1458124e-09,1.0956107e-07,.00015210568,.00046099411
0,11.5,8.1596363e-07,.000010542384,2.5866843e-06,.000055607194,3.9823306e-07,3.7073710e-07,6.9256487e-07,7.4179662e-09,1.1223437e-07,.00015255852,.00046241915
0,11.6,8.3176485e-07,.000010642465,2.6202758e-06,.000056243181,4.0247079e-07,3.7672180e-07,7.0183108e-07,7.7004847e-09,1.1497291e-07,.0001530127,.0004638492
0,11.7,8.4787195e-07,.000010743495,2.6543034e-06,.00005688646,4.0675360e-07,3.8280305e-07,7.1122116e-07,7.9937612e-09,1.1777824e-07,.00015346824,.00046528436
0,11.8,8.6429105e-07,.000010845486,2.6887731e-06,.000057537018,4.1108200e-07,3.8898256e-07,7.2073703e-07,8.2982092e-09,1.2065203e-07,.00015392514,.00046672468
0,11.9,8.8102803e-07,.000010948444,2.7236899e-06,.000058195081,4.1545644e-07,3.9526174e-07,7.3038007e-07,8.6142498e-09,1.2359594e-07,.00015438338,.00046817007
0,12,8.9808924e-07,.000011052381,2.7590609e-06,.00005886066,4.1987744e-07,4.0164232e-07,7.4015225e-07,8.9423304e-09,1.2661170e-07,.000154843,.00046962069
0,12.1,9.1548083e-07,.000011157304,2.7948909e-06,.000059533853,4.2434550e-07,4.0812594e-07,7.5005516e-07,9.2829060e-09,1.2970104e-07,.00015530399,.00047107649
0,12.2,9.3320909e-07,.000011263221,2.8311858e-06,.000060214767,4.2886109e-07,4.1471412e-07,7.6009047e-07,9.6364490e-09,1.3286572e-07,.00015576635,.00047253756
0,12.3,9.5128075e-07,.000011370145,2.8679526e-06,.000060903389,4.3342476e-07,4.2140874e-07,7.7026016e-07,1.0003460e-08,1.3610766e-07,.00015623007,.00047400384
0,12.4,9.6970223e-07,.000011478084,2.9051964e-06,.000061599952,4.3803692e-07,4.2821137e-07,7.8056581e-07,1.0384446e-08,1.3942868e-07,.0001566952,.00047547548
0,12.5,9.8848068e-07,.000011587048,2.9429243e-06,.000062304483,4.4269822e-07,4.3512387e-07,7.9100943e-07,1.0779946e-08,1.4283076e-07,.00015716169,.00047695238
0,12.6,1.0076227e-06,.000011697047,2.9811422e-06,.000063017062,4.4740915e-07,4.4214795e-07,8.0159282e-07,1.1190508e-08,1.4631584e-07,.00015762959,.00047843475
